Revised,Number,Vocabulary,Meaning
,421,reply,[自] ①（to ～）（～に）返事をする，答える [名] ②返事，答え
,422,respond,[自] ①（to ～）（手紙や問いなどに）返答する ②（to ～）（～に）対応する，反応する
,423,whisper,[自] ①ささやく [名] ②ささやき（声）
,424,remark,[名] ①発言 [他] ②～と発言する
,425,observe,[他] ①～を観察する ②（that SV）（気づいたことを）～と述べる ③（規則など）を遵守する ④（記念日など）を祝う
,426,theory,[名] ①理論 ②（学）説
,427,analysis,[名] 分析
,428,phenomenon,[名] ①現象 ②特異なもの，天才（①②ともに<可算>）
,429,device,[名] 装置<可算>
,430,experiment,[名] ①実験 [自] ②実験する
,431,chemical,[名] ①（通例 ―s）化学物質 [形] ②化学の
,432,fuel,[名] ①燃料 [他] ②（感情など）を大きくする
,433,nuclear,[形] 原子力の，核の
,434,statistics,[名] ①統計（値）〈複数扱い〉 ②統計学〈不可算〉
,435,pursue,[他] ①～を追求する，続ける ②～を追跡する
,436,accomplish,[他] ～をやり遂げる
,437,overcome,[他] ～を克服する
,438,fulfill,[他] ①（義務，願望など）を果たす ②（必要など）を満たす
,439,devote,[他] （A to B)（A）を（B に）ささげる
,440,strive,[自] 努力する
,441,aim,[自] ①狙う [他] ②（―ed at ～）～向けだ [名] ③狙い，目的
,442,challenge,[名] ①難問，課題<可算> [他] ②～に異議を唱える
,443,trial,[名] ①試み ②裁判 ③試練
,444,dizzy,[形] めまいがして
,445,appetite,[名] 食欲
,446,starve,[自] ①餓死する ②（be ―ing）とてもお腹が空いている
,447,mental,[形] ①精神の ②知力の
,448,rest,[名] ①休憩 ②（the ―）残り [自] ③（横になったりして）休む ④（on ～）（～）次第だ [他] ⑤～を休ませる
,449,surgery,[名] ①手術 ②外科（①②ともに〈不可算〉)
,450,disease,[名] 病気
,451,stomachache,[名] 腹痛
,452,symptom,[名] ①（通例 ―s）症状 ②兆候
,453,cancer,[名] ①がん ②（C―）かに座
,454,ambulance,[名] 救急車
,455,recover,[自] ①（from ～）（～から）回復する [他] ②（盗品など）を取り戻す
,456,sore,[形] ①（のどや筋肉が）痛い ②（話題など）触れてほしくない，心が痛む
,457,swell,[自] ①（手足などが）腫れる ②（風船，費用などが）膨らむ
,458,cough,[自] ①咳をする [名] ②咳〈可算〉
,459,bleed,[自] 出血する
,460,faint,[形] ①（色，光などが）かすかな [自] ②気絶する [名] ③気絶
,461,exhaust,[他] ①～を疲れ果てさせる ②～を使い果たす [名] ③排出，排気ガス
,462,cure,[他] ①～を治療する [名] ②治療法
,463,disabled,[形] ①障がいのある [名] ②（the ―）（集合的に）障がいのある人
,464,stiff,[形] ①（筋肉などが）凝った，（動かすと）痛い ②堅い
,465,muscle,[名] 筋肉
,466,tongue,[名] ①舌 ②言語，言葉 ③（have a ～ tongue）話し方
,467,sense,[名] ①感覚 ②分別 ③（言葉の）意味 [他] ④（何となく）～を感じる
,468,sweat,[名] ①汗（通例〈不可算〉)[自] ②汗をかく
,469,gender,[名] 性，性別
,470,nationality,[名] 国籍
,471,citizen,[名] ①市民 ②国民
,472,civil,[形] ①（一般）市民の ②国内の ③礼儀正しい
,473,racial,[形] 人種の，民族の
,474,rural,[形] 田舎の
,475,domestic,[形] ①国内の ②家庭内の
,476,global,[形] （全）世界的な
,477,suburb,[名] （通例the ―s）郊外
,478,border,[名] ①国境（地帯），境界 [他] ②～を縁取る
,479,burden,[名] 重荷，負担
,480,impact,[名] ①（on ～）（～への）影響 ②（物体間の）衝撃 [自] ③（on ～）（～に）影響を及ぼす
,481,status,[名] ①地位 ②（特定の時点の）状況
,482,equal,[形] ①（to ～）（～に）等しい，平等な [他]②～に等しい
,483,relationship,[名] ①関係 ②親密な関係 （①②ともに〈可算〉）
,484,reputation,[名] （人，物の）評判〈可算〉
,485,trend,[名] ①（世の中の）風潮，傾向 ②流行
,486,service,[名] ①（政府あるいは企業による）事業，制度 ②（電車，バスの）便 ③サービス，接客〈不可算〉
,487,religion,[名] 宗教
,488,moral,[形] ①道徳的な [名] ②（物語の）教訓 ③（―s）道徳
,489,standard,[名] ①基準，水準 [形] ②標準の
,490,prosperity,[名] 繁栄
,491,crisis,[名] 危機
,492,prejudice,[名] ①偏見，先入観 [他] ②～に偏見をもたせる
,493,discrimination,[名] ①差別 ②識別（①②ともに<不可算>）
,494,charity,[名] ①慈善（事業）〈不可算〉 ②慈善団体〈可算〉 ③（形容詞的に）慈善のための
,495,benefit,[名] ①恩恵 ②（―s）手当 [自] ③（from ～）（～から）恩恵を得る [他] ④～に恩恵を与える
,496,welfare,[名] ①福祉 ②（健康なども含めた）幸福 ③生活保護（①②③いずれも<不可算>）
,497,community,[名] （地域）社会，共同体（の人々）<可算>
,498,individual,[名] ①個人，個体 [形] ②個人の，個々の
,499,official,[名] ①役人，役員 [形] ②公式の
,500,immigrant,[名] （外国からの）移民
,501,volunteer,[名] ①ボランティア [自] ②（to do）（～することを）自発的に申し出る
,502,interact,[自] （with～）（～と）交流する、相互作用する
,503,contribute,[自] （to ～）①（～に）貢献する ②（～の）一因となる [他] ③（A to B）（A）を（B に）寄付する，提供する
,504,abolish,[他] ～を廃止する
,505,impose,[他] （A on B）（A）を（B に）課す，押しつける
,506,access,[名] ①利用する権利 ②（場所への）接近方法
,507,duty,[名] ①義務 ②関税
,508,responsible,[形] ①（人が主語）責任がある ②（物が主語）原因となっている
,509,policy,[名] ①政策 ②方針 ③保険契約，約款
,510,elect,[他] ～を（選挙で）選ぶ
,511,industry,[名] ①工業 ②（the ～ industry）産業，業界 ③勤勉
,512,income,[名] 収入
,513,profit,[名] 利益，利潤
,514,tax,[名] 税金（〈米〉→〈可算〉 〈英〉→〈不可算〉）
,515,expense,[名] ①費用，経費 ②（at the ― of ～）（～を）犠牲（にして）
,516,debt,[名] 借金
,517,deposit,[名] ①預金 ②頭金，保証金 ③埋蔵物 、堆積物 [他] ④～を預ける
,518,charge,[名] ①料金 ②（主にin ―）責任，管理 ③（against ～）（～に対する）非難，告訴 [他] ④～を請求する ⑤～を告訴する ⑥～を充電する
,519,wage,[名] ①賃金<可算> [他] ②（闘争，運動など）を行う
,520,recession,[名] 不況，不景気
,521,consume,[他] ～を消費する
,522,waste,[他] ①～を浪費する [名] ②浪費，無駄 ③廃棄物〈不可算〉
,523,invest,[他] ①（A in B）（A）を（B に）投資する ②（A with B）（A）に（B を）与える
,524,import,[他] ①～を輸入する [名] ②輸入，輸入品
,525,financial,[形] 財政的な，金銭的な
,526,hire,[他] ①～を（一時的に）雇う ②（金を払って短期間）～を借りる
,527,employ,[他] ①（人）を雇う ②（物，事）を用いる
,528,resign,[自] ①（as ～）（～を）辞職する [他] ②（地位など）を辞める
,529,qualify,[自] ①（for ～）（～の）資格がある ②（as ～）（～としての）資格を得る [他] ③～に資格を与える
,530,assign,[他] ①～を割り当てる ②～を配属する
,531,occupation,[名] ①職業〈可算〉 ②占有，占領〈不可算〉
,532,career,[名] ①職業 ②経歴
,533,profession,[名] ①（専門的な）職業 ②（the ―）同業者集団
,534,unemployment,[名] ①失業 ②失業率（＝― rate），失業者数 （①②ともに〈不可算〉）
,535,document,[名] ①書類，資料 [他] ②～を記録する
,536,department,[名] ①（組織の）部門，課 ②（大学の）学科 ③（米国などの）省
,537,branch,[名] ①支店，支局 ②（学問の）部門 ③枝
,538,retail,[名] ①小売り〈不可算〉 [自] ②小売りされている
,539,colleague,[名] （from ～）（～の）同僚
,540,system,[名] ①制度，組織 ②体系 （①②ともに〈可算〉）
,541,structure,[名] 構造
,542,architecture,[名] 建築（様式）〈不可算〉
,543,construction,[名] 建設〈不可算〉
,544,function,[名] ①機能 [自] ②機能する
,545,surface,[名] ①表面<可算> [自] ②表面化する
,546,aspect,[名] 側面<可算>
,547,edge,[名] ①端 ②（ナイフなどの）刃 ③優位
,548,makeup,[名] ①（物の）構成、構造 ②（人の）資質 ③化粧 ④（― exam）追試験
,549,consist,[自] ①（of ～）（～で）構成されている ②（in ～）（～に）ある
,550,compose,[他] ①～を構成する，組み立てる ②～を作曲［作文］する ③～を落ち着かせる
,551,attach,[他] ①～をくっつける，添付する ②～に愛着を持たせる
,552,connect,[他] ①～をつなげる ②～を関連づける [自] ③つながる
,553,relate,[他] ①（A to B）（A）を（B に）関連づける ②～を（順序立てて）話す [自] ③（to ～）（～に）理解を示す
,554,associate,[他] ①（A with B）（A）を（B と）関連づける，（A）から（B を）連想する [自] ②（with ～)（～と）付き合う [名] ③同僚，共同経営者
,555,stick,[他] ①～を貼り付ける ②（舌や脚）を出す [自] ③（to）（主義などを）守る，固執する
,556,thief,[名] 泥棒
,557,crime,[名] 犯罪
,558,motive,[名] 動機
,559,punish,[他] （（人）for ～）（人）を（～の理由で）罰する
,560,violate,[他] ①（法律など）に違反する ②（権利など）を侵害する
,561,legal,[形] ①合法の ②法律の，法的な
,562,enemy,[名] ①敵<可算> ②（形容詞的に）敵の
,563,conflict,[名] ①対立，紛争 ②葛藤 [自] ③（with ～）（～と）矛盾する
,564,compete,[自] ①競争する ②（in ～）（競技などに）参加する
,565,defeat,[他] ①（相手）を打ち負かす [名] ②敗北
,566,victim,[名] 犠牲者
,567,obstacle,[名]（to ～）（～に対する）障害〈可算〉
,568,harm,[名] ①害〈不可算〉 [他] ②～に害を与える
,569,invade,[他] ①（プライバシーなど）を侵害する ②（国など）に侵入する，～を侵略する
,570,endanger,[他] ～を危険にさらす
,571,interrupt,[他] ①～を中断する ②～を遮る [自] ③人の話を遮る
,572,spoil,[他] ①～を台無しにする ②（子ども）を甘やかす
,573,spectator,[名] 観客〈可算〉
,574,relative,[名] ①（家族も含めて）親戚 [形] ②相対的な
,575,departure,[名] ①出発 ②逸脱
,576,destination,[名] ①目的地 ②（tourist ―）観光地，旅行先（①②ともに<可算>）
,577,transportation,[名] 交通機関〈不可算〉
,578,vehicle,[名] ①（エンジンの付いた）車両 ②（思想，意見の）伝達手段
,579,baggage,[名]（旅行時の）手荷物<不可算>
,580,via,[前] ①～経由で ②～によって
,581,lead,[自] ①（to ～）（～に）至る [他] ②（a ～ life）（～な生活）を送る ③（A to do）A に～させる [名] ④鉛，（シャーペンなどの）芯
,582,rise,[自] ①上がる，昇る [名] ②上昇
,583,flow,[自] ①流れる [名] ②流れ
,584,burst,[自] ①破裂する，爆発する ②（慣用句で）突然～し始める
,585,melt,[自] ①（固体が）溶ける [他] ②～を溶かす
,586,commute,[自] ①通勤[通学]する [名] ②通勤[通学]（距離）
,587,accompany,[他] ①（人が主語）～と一緒に行く ②（物が主語）～に伴う
,588,emit,[他]（ガス、熱、光など）を排出する
,589,progress,[名] ①進歩，前進 〈不可算〉 [自] ②進歩する，進む
,590,advance,[名] ①進歩，前進 〈可算〉 [自] ②（軍隊などが）前進する，進歩する [形] ③事前の
,591,deal,[自] ①（with～）（～を）扱う [名] ②取り引き
,592,handle,[他] ①～を扱う ②（手で）～を扱う，触れる [名] ③取っ手
,593,treat,[他] ①（副詞を伴って）～を扱う ②（病人，病気）を治療する ③（A to B)（A)に（Bを）おごる [名] ④楽しみ
,594,clue,[名] （to ～）（～の）手がかり
,595,restrict,[他] ～を制限する
,596,limit,[他] ①（数量，範囲）を制限する [名] ②制限
,597,forbid,[他] ～を禁じる
,598,ban,[名] ①禁止〈可算〉 [他] ②～を禁止する
,599,refuse,[他] ①（to do）～するのを拒む ②～を断る
,600,reject,[他] ①～を拒絶する ②（人）を拒む、除け者にする
,601,persuade,[他] （A to do）（A）を説得して～させる
,602,convince,[他] ①（A of B）（A）に（Bを）確信させる，（A that SV）（A）に（～を）確信させる ②（A to do）（A）を説得して～させる
,603,inspire,[他] ①～を奮起させる，かき立てる ②（作品）に創作のヒントを与える
,604,discourage,[他] ～のやる気をなくさせる，落胆させる
,605,promote,[他] ①～を促進する ②（be［get］―d to ～）（～に）出世［昇進］する
,606,boost,[他] ～を促進させる，増大させる
,607,expand,[自] ①拡大する，膨張する [他] ②～を拡大する，膨張させる
,608,extend,[他] ①～を延長する，広げる [自] ②伸びる，広がる
,609,broaden,[他] ①～を広げる [自] ②広がる
,610,spread,[他] ①～を広げる [自] ②広がる [名] ③広がり
,611,tie,[他] ①（荷物など）を縛る ②（ひも，ネクタイなど）を結ぶ [名] ③ネクタイ（＝necktie)④（家族などの）きずな
,612,fasten,[他] ①～を固定する ②（ボタンなど）をかける，留める
,613,fix,[他] ①～を固定する ②～を修理する ③（主に 〈米〉）（食事，飲み物）を作る
,614,install,[他] ①（機械など）を設置する ②～をインストールする
,615,resist,[他] ①～を我慢する ②～に抵抗する
,616,obey,[他] ～に従う
,617,engage,[自] ①（in ～）（活動に）従事する ②（with ～）（理解のために、人や考えに）関与する [他] ③（関心、注意など）を引く
,618,bump,[自] （into ～）①（～に）ぶつかる ②（～に）偶然出会う
,619,bend,[自] ①身をかがめる [他] ②～を曲げる [名] ③（道の）カーブ
,620,hug,[他] ①（人）を （愛情こめて）抱きしめる [名] ②抱擁
,621,stare,[自] ①（at ～）（～を）じっと見つめる [名] ②凝視
,622,gaze,[自] ①（at［on］～）（～を）見つめる [名] ②視線，凝視
,623,glance,[自] ①ちらりと見る [名] ②ちらりと見ること
,624,glimpse,[他] ①～がちらりと見える [名] ②ちらりと見えること
,625,stretch,[他] ①（手足や体）を伸ばす，広げる [自] ②伸びる，広がる [名] ③（ひと続きの）広がり
,626,stumble,[自] ①つまずく ②（across［into］～）（～に）偶然出会う
,627,press,[他] ①～を（強く）押す ②～を押しつける，勧める [名] ③（the ―）報道機関，出版
,628,drag,[他] ～を（ずるずると）引きずる
,629,lean,[自] ①（against［on］～）（～に）寄りかかる ②（forward）身を乗り出す [形] ③（健康的に）痩せている
,630,scratch,[他] ①～をひっかく，かく [名] ②ひっかき傷
,631,bow,[自] ①おじぎする [名] ②おじぎ
,632,nod,[自] ①うなずく ②（off）うたた寝する [名] ③うなずき，会釈
,633,sigh,[自] ①ため息をつく [名] ②ため息
,634,yawn,[自] ①あくびをする [名] ②あくび
,635,sneeze,[自] くしゃみをする
,636,bury,[他] ①～を埋める ②～を埋葬する
,637,perform,[他] ①～を遂行する ②～を演じる，演奏する [自] ③（副詞を伴い）やる
,638,adopt,[他] ①～を採用する ②～を養子にする、（動物など）を引き取る
,639,escape,[自] ①（from ～）（～から）逃れる [他] ②～を避ける [名] ③逃亡
,640,scatter,[他] ①～をまき散らす [自] ②（群衆などが）散る
,641,fold,[他] ①～を折る ②（up）～を折りたたむ ③（腕）を組む [自] ④折りたためる
,642,hang,[他] ①～を掛ける ②～を絞首刑にする [自] ③ぶら下がる
,643,release,[他] ①～を解放する ②（映画など）を発表する，出す ③（ガスなど）を放出する [名] ④解放，発売
,644,strike,[他] ①～を打つ ②（災害が）～を襲う ③（考えが人）に思い浮かぶ ④（A as B）（A）に（B という）印象を与える [名] ⑤ストライキ
,645,beat,[他] ①～を打つ ②～に勝つ
,646,protect,[他] ～を守る，保護する
,647,twist,[他] ①～を（ねじ）曲げる ②（体の一部）をひねる，捻挫する
,648,skip,[他] ～をサボる，抜かす
,649,expose,[他] ①～をさらす ②（秘密，犯罪など）を暴露する
,650,stir,[他] ①（液体など）を混ぜる ②（―up ）（感情など）を呼び覚ます
,651,shake,[他] ①～を振る ②～を揺さぶる [自] ③（恐怖，寒さで）震える
,652,polish,[他] ～を磨く
,653,attend,[他] ①～に出席する，通う [自] ②（to ～）（～に）注意を向ける ③（to ～）（～を）世話する
,654,imitate,[他] ～をまねる
,655,conduct,[他] ①～を行う ②（電気，熱）を伝える [名] ③行為
,656,struggle,[自] ①苦闘する，もがく [名] ②苦闘，もがくこと〈可算〉
,657,burn,[自] ①焼ける [他] ②～を燃やす
,658,cheat,[自] ①ごまかす [他] ②～をだます
,659,participate,[自] （in ～）（～に）参加する
,660,exist,[自] 存在する
,661,arise,[自] 生じる
,662,occur,[自] ①生じる ②（to （人））（考えなどが（人）に）思いつく
,663,involve,[他] ①（be ―d in ～）（事件などに）巻き込まれる ②（be ―d in ～）（子育てなどに）参加する ③～を伴う
,664,require,[他] ～を必要とする
,665,counterpart,[名] （to ～）（～に）対応する［（～と）同等の］人［物，事］
,666,advent,[名] ①到来 ②（the A―）キリストの降臨
,667,maintain,[他] ①～を維持する ②（that SV）（～）を（強く）主張する
,668,last,[自] ①（時間的に）続く ②（服などが）長持ちする [形] （the last ～）③この前の～，最後の～ ④もっとも～でない [名] ⑤（at ―）ついに
,669,persist,[自] ①持続する，残る ②（in［with］～）（～を）貫く，（～に）固執する
,670,examine,[他] ①～を調査する ②～を検査する
,671,gain,[他] ①～を増す ②～を得る [名] ③利益，増加
,672,obtain,[他] （資格，許可，情報など）を得る
,673,acquire,[他] ①～を習得する ②～を獲得する ③～を買収する
,674,search,[他] ①（A for B)（B（物）を求めてA（場所））を捜す [名] ②捜索，調査
,675,logical,[形] 論理的な
,676,scholarship,[名] ①奨学金〈可算〉 ②学問、（人文科学の）学識〈不可算〉
,677,instruction,[名] （通例―s）指示
,678,determine,[他] ①～を決める，～に大きく影響する ②（be ―d to do）～することを決意している ③（原因など）を特定する
,679,conclude,[他] ①（that SV）～と結論を下す
,680,distinguish,[他] ～を区別する
,681,classify,[他] ～を分類する
,682,estimate,[他] ①～を推定する，見積もる [名] ②（for ～）（～の）見積もり
,683,organize,[他] ①（考えなど）をまとめる ②～を組織化する，取りまとめる
,684,recognize,[他] ①（知り合いなど）が誰だかわかる ②（that SV）～を認識する
,685,suppose,[他] ①（be ―d to do）～することになっている ②～と思う，仮定する
,686,assume,[他] ①～と思い込む，決めつける ②～を引き受ける
,687,care,[自] ①（否定文で）気にする ②世話をする [名] ③世話，心配
,688,approve,[自] ①（of ～）（～を）認める，承認する [他] ②～を承認する
,689,notice,[他] ①～に気がついている [名] ②通知，掲示，注意
,690,aware,[形] 気づいている
,691,conscious,[形] ①意識している，気づいている ②意識がある
,692,concerned,[形] ①（with［about］～）（～に）関心を持っている，重視している ②（with ～）（～を）扱っている ③（about［for］～）（～を）懸念している
,693,regard,[他] ①（A as B）（A）を（B と）みなす ②（副詞を伴い）～を評価する [名] ③（in ―）点 ④（―s）よろしくという挨拶
,694,commit,[他] ①（oneself to ～ / be ―ed to ～）～に専念する ②（A to B)（A）を（B に）委ねる，充てる ③（犯罪など）を犯す
,695,doubt,[他] ①～を疑う ②（that SV）～とは思わない [名] ③疑い
,696,memorize,[他] ～を暗記する
,697,forgive,[他] （人，過ち）を許す
,698,grant,[他] ①（take ～ for granted）～を当然のことと思う ②（権利など）を与える [名] ③交付，補助金
,699,recall,[他] ①～を思い出す ②（商品）を回収する，リコールする
,700,outlook,[名] ①（人生，世界などに対する）考え方 ②（経済，天候などの）見通し
,701,perspective,[名] ①（経験などで得られる）視点〈可算〉 ②（大局的な）見方，遠近法〈不可算〉
,702,abandon,[他] ～を捨てる，放棄する
,703,eliminate,[他] ①（不要な人，物，事）を排除する ②（be ―d）敗退する
,704,rid,[他] （get ― of ～）①（不要品）を処分する ②～を取り除く
,705,remove,[他] ①～を取り除く，取り去る ②（衣服）を脱ぐ
,706,resource,[名] ①（―s）（石油などの）資源，（人，国の）財産 ②（―s）（困難に立ち向かう）力量 ③（万一の頼みの）手段
,707,conservation,[名] ①保護 ②保存
,708,preserve,[他] ①（自然など）を保護する ②（景観，平和，食品など）を保つ
,709,disaster,[名] ①災害 ②大失敗
,710,planet,[名] ①惑星 ②（the ―）地球
,711,environment,[名] 環境，周囲（の状況）
,712,horizon,[名] ①水平線，地平線 ②（―s）視野
,713,layer,[名] （大気や地面などの）層 <可算>
,714,agriculture,[名] 農業〈不可算〉
,715,crop,[名] ①作物 ②収穫（高)[自] ③（up）生じる
,716,soil,[名] 土，土壌
,717,weed,[名] ①雑草，海草 [他] ②～の雑草を抜く
,718,pollen,[名] 花粉
,719,drown,[自] 溺れ死ぬ
,720,leak,[自] ①漏れる [他] ②～を漏らす [名] ③漏れ
,721,climate,[名] ①気候 ②（政治，経済，文化の）状況
,722,atmosphere,[名] ①（the ―）大気 ②雰囲気 ③（the（Earth's）―）大気圏
,723,forecast,[名] ①予報 [他] ②～を予報する
,724,humid,[形] 湿気が多い
,725,tropical,[形] 熱帯の
,726,solar,[形] 太陽の
,727,species,[名] 種〈単複同形〉
,728,pesticide,[名] （虫や小動物などの）殺虫剤、駆除剤
,729,extinct,[形] 絶滅した
,730,feed,[他] ①～にえさを与える ②（子どもなど）を養う [自] ③（on ～）（～を）常食とする
,731,energetic,[形] （人，運動などが）活発な
,732,greedy,[形] 貪欲な
,733,brave,[形] 勇敢な
,734,generous,[形] 気前のよい
,735,intellectual,[形] 知的な
,736,curious,[形] ①（人が主語）好奇心が強い ②（物が主語）奇妙な，好奇心をそそる
,737,imaginative,[形] 想像力豊かな
,738,afford,[他] ①（can ―）～する余裕がある ②（SVO1O2）（O1に）O2を与える
,739,eager,[形] 熱心な
,740,selfish,[形] 利己的な，自分勝手な
,741,aggressive,[形] ①攻撃的な ②積極的な
,742,cruel,[形] 残酷な
,743,addicted,[形] ～の中毒になっている
,744,stubborn,[形] 頑固な
,745,bold,[形] 大胆な
,746,guilty,[形] ①申し訳なく思う，罪の意識がある ②（of ～）（～の）罪を犯した
,747,innocent,[形] ①（of ～）（～に関して）無実の ②無邪気な
,748,sincere,[形] ①（心から）誠実な ②（言動が）心からの，偽りのない
,749,modest,[形] ①（人が）謙虚な ②（物が）大きくない，高くない
,750,stupid,[形] ばかな
,751,indifferent,[形] 無関心で
,752,punctual,[形] （約束などの）時間を守る
,753,coward,[名] 臆病者
,754,precise,[形] 正確な，精密な
,755,accurate,[形] 正確な
,756,proper,[形] 適切な
,757,tidy,[形] ①（主に〈英〉）きちんとした，整然とした [他] ②～を整頓する
,758,efficient,[形] ①能率的な，無駄がない ②（人が）有能な
,759,reasonable,[形] ①理にかなった ②（値段が）手ごろな
,760,significant,[形] ①重要な、有意な ②（数量，増減などが）かなりの
,761,precious,[形] ①（時間や命などが）貴重な ②（宝石などが）高価な
,762,essential,[形] ①不可欠な [名] ②（―s）不可欠なもの
,763,fundamental,[形] ①根本的な，基本的な [名] ②（―s）基本事項
,764,outweigh,[他] （価値・重要性・影響力で）～に勝る
,765,critical,[形] ①重大な，危機的な状況の ②批判的な
,766,serious,[形] ①深刻な ②（人が）真剣な，本気の
,767,complex,[形] ①複雑な [名] ②複合体（の建物)③強迫観念
,768,complicated,[形] 複雑な、ややこしい
,769,delicate,[形] ①繊細な，微妙な ②（人が）虚弱な
,770,plain,[形] ①明白な，わかりやすい ②質素な [名] ③平野，原野
,771,obvious,[形] 明白な
,772,remarkable,[形] 注目すべき，すばらしい
,773,outstanding,[形] 傑出した，目立った
,774,various,[形] さまざまな
,775,diversity,[名] 多様性
,776,sort,[名] ①種（類)②（副詞的に）（― of）多少 [他] ③～を分類する
,777,marvelous,[形] 驚くべき、素晴らしい
,778,active,[形] 積極的な，活発な
,779,positive,[形] ①前向きな，積極的な ②確信している
,780,pure,[形] ①純粋な ②（水，空気が）澄んだ
,781,steady,[形] 着実な，一定の
,782,flexible,[形] 柔軟な，融通のきく
,783,ripe,[形] 熟した
,784,stable,[形] ①安定した [名] ②馬小屋，きゅう舎
,785,negative,[形] 否定的な，否定の
,786,vague,[形] 曖昧な，漠然とした
,787,weird,[形] 変な
,788,rough,[形] ①（表面が）粗い ②おおざっぱな ③（海，天候などが）荒れている
,789,severe,[形] ①（天候，批判，罰則などが）厳しい ②（けが，問題などが）ひどい
,790,passive,[形] 受動的な，消極的な
,791,vain,[形] ①（in ―）無駄に ②（努力などが）無駄な ③うぬぼれの強い
,792,fake,[形] ①偽の，偽造の [名]②偽造品
,793,risky,[形] 危険な，危うい
,794,odd,[形] ①奇妙な ②奇数の ③半端な，雑多な [名] ④〈英〉（the ―s）可能性
,795,ignorant,[形] 無知の
,796,contrast,[名] ①対比 [他] ②～を対比する [自]③対照をなす
,797,valid,[形] ①（理由，主張などが）妥当な，正当な ②（切符などが）有効な
,798,rare,[形] 珍しい
,799,casual,[形] ①気楽な ②ふとした，何気ない
,800,available,[形] ①手に入る，利用できる ②（人の予定が）空いている
,801,practical,[形] ①（人，知識が）現実的な，実際の ②（発明，道具などが）実用的な，実践的な
,802,abstract,[形] ①抽象的な [名] ②（論文などの）要旨
,803,brand-new,[形] 新品の，真新しい
,804,secondhand,[形] ①中古の ②間接的な
,805,rapid,[形] ①急速な [名] ②（―s）急流
,806,urgent,[形] 緊急の，差し迫った
,807,shallow,[形] ①浅い ②（人，言動などが）浅はかな
,808,sharp,[形] ①（変化，方向転換などが）急激な ②（言葉が）きつい ③（刃物，感覚，人などが）鋭い [副] ④（時刻が）きっちりで
,809,calm,[形] ①落ち着いた [自] ②落ち着く [他] ③～を落ち着かせる
,810,naked,[形] （人が）裸の，むき出しの
,811,independent,[形] ①独立した，無所属の [名] ②無所属の人
,812,tense,[形] ①張り詰めた ②（人が）緊張した [名] ③時制
,813,narrow,[形] ①狭い [他] ②～を狭くする，細める
,814,vacant,[形] 空いている，使用されていない
,815,vivid,[形] ①（記憶，描写などが）鮮明な ②（色が）鮮明な
,816,awkward,[形] ①ぎこちない ②気まずい ③扱いにくい
,817,objective,[形] ①客観的な [名] ②目標
,818,manual,[形] ①手を使う，身体を使う ②手動の [名] ③手引き書
,819,alike,[形] ①似ている [副] ②（A and B ―）（A もB も）同様に
,820,alien,[形] ①異質な ②外国（人）の、地球圏外の
,821,tend,[自] （to do）～する傾向にある
,822,deserve,[他] ～に値する
,823,fragment,[名] 破片〈可算〉
,824,range,[名] ①範囲 [自] ②（from A to B）（A からB の）範囲に及ぶ
,825,scale,[名] ①規模 ②（―s）体重計 ③うろこ
,826,unique,[形] ①（to ～）（～に）特有の，独自の ②独特の
,827,particular,[形] ①ある特定の，特有の ②（about ～）（～の）好みがうるさい [名] ③（in ―）特に（＝particularly）
,828,typical,[形] 典型的な
,829,general,[形] ①一般的な，全体の [名] ②大将，将軍
,830,ordinary,[形] 平凡な，ふつうの
,831,account,[自] （for ～）①（割合を）占める ②（～の原因を）説明する [名] ③説明 ④口座
,832,calculate,[他] ～を計算する
,833,measure,[他] ①～を測る [自] ②～の寸法がある [名] ③（―s）手段
,834,decline,[自] ①減る，衰退する [他] ②～を断る [名] ③衰退，減少
,835,split,[他] ①～を割る ②～を分裂させる [自] ③分裂する [名] ④分裂，裂け目，割れ目
,836,volume,[名] ①容積，体積 ②ボリューム，音量 ③（全集などの）1巻
,837,proportion,[名] ①比率 ②部分 ③（―s）規模，大きさ
,838,dozen,[名] ①ダース ②（―s of ～）数十の～
,839,amount,[名] ①量 [自] （to ～）②（合計が）～に達する ③結局～になる
,840,mass,[名] ①大量 ②（the ―es）大衆 ③かたまり ④質量 ⑤（M―）ミサ
,841,shortage,[名] 不足〈可算〉
,842,enormous,[形] 莫大な，巨大な
,843,spare,[形] ①余分な，予備の [他] ②（時間やお金，労力）を割く ③～を惜しむ
,844,arrange,[他] ①～を手配する、～の段取りをつける ②～を整理する
,845,adapt,[自] ①適応する [他] ②～を適応させる
,846,match,[他] ①～と調和する ②～に匹敵する [名] ③釣り合う人［物］，好敵手
,847,fit,[他] ①（サイズが人）に合う [形] ②健康な ③（to do）（～するのに）適した
,848,emergency,[名] ①緊急事態 ②（形容詞的に）緊急の
,849,occasion,[名] ①場合 ②行事，祝い事
,850,accidental,[形] 偶然の、偶発的な
,851,current,[形] ①最新の，今の ②流通して [名] ③流れ，風潮
,852,temporary,[形] 一時的な
,853,permanent,[形] 永久的な
,854,previous,[形] （時間，順序で）前の，以前の
,855,former,[名] ①（the ―）前者 [形] ②元の、前の、旧
,856,contemporary,[形] ①現代の ②同時代の [名] ③同時代の人
,857,lately,[副] 最近
,858,immediately,[副] ①すぐに ②直接に
,859,deadline,[名]（for ～）（～の）締め切り <可算>
,860,decade,[名] 10年
